54
933.11	940.064
137.11	210.164
761.21	876.164
426.21	072.264
840.31	412.364
741.31	545.764
453.21	933.284
301.21	702.194
253.21	899.394
586.21	027.594
610.31	214.794
202.31	375.005
240.31	977.705
438.21	250.615
798.21	471.125
280.31	045.425
503.31	551.725
974.31	799.925
293.31	779.535
929.21	000.845
074.21	938.065
353.21	094.865
194.21	743.275
937.21	246.475
130.31	952.675
623.31	626.775
965.31	171.975
176.31	799.185
145.31	602.885
493.31	341.695
324.31	660.206
044.31	076.706
181.31	943.716
768.21	084.826
509.21	591.436
411.31	629.636
213.31	014.936
324.31	928.246
174.31	970.746
245.31	270.156
246.31	144.456
876.31	284.856
805.31	322.666
341.31	409.876
528.21	205.196
175.21	263.207
524.21	017.017
115.21	029.417
337.21	078.617
099.21	712.817
822.31	337.917
793.31	911.227
534.31	154.627
453.31	100.337
623.31	731.937
934.31	888.247
126.31	729.447
897.31	851.647
829.31	989.647
599.31	996.747
299.31	650.947
129.31	946.257
428.31	963.957
367.31	376.767
347.31	547.577
747.31	029.287
947.31	535.987
876.31	254.797
435.31	427.708
464.31	100.718
335.31	547.228
176.31	829.528
108.31	240.828
388.31	840.038
919.31	223.238
149.31	296.438
669.31	068.638
199.31	396.838
310.41	090.048
230.41	479.048
340.41	784.148
020.41	557.248
518.31	641.258
412.31	315.488
898.21	484.119
699.21	638.919
002.31	413.229
314.31	125.329
295.31	918.429
356.31	470.829
824.31	057.739
630.31	118.259
288.21	789.269
039.21	380.869
850.31	410.179
812.31	650.379
783.31	307.479
055.31	581.679
386.31	678.779
517.31	114.189
774.31	776.199
470.31	138.7001
149.21	240.8101
510.31	506.2201
161.31	700.5201
433.31	505.6201
415.31	635.7201
386.31	953.8201
718.31	872.9201
678.31	461.1301
507.31	969.8301
109.21	398.6601
403.21	640.1901
772.21	781.8901
973.21	253.1011
305.21	868.3011
336.21	422.6011
567.21	145.8011
498.21	129.0111
710.31	534.3111
231.31	360.6111
442.31	437.8111
943.31	964.1211
>F<	>j<
